stockcode,description,unitprice
21208,PASTEL COLOUR HONEYCOMB FAN,1.65
21368,MIRRORED WALL ART LADIES,2.55
35265,COLOURFUL FLOWER FRUIT BOWL,6.95
37503,TEA TIME CAKE STAND IN GIFT BOX,10.75
22743,MAKE YOUR OWN FLOWERPOWER CARD KIT,2.95
10133,COLOURING PENCILS BROWN TUBE,0.85
21158,MOODY GIRL DOOR HANGER ,1.45
21677,HEARTS  STICKERS,0.85
22847,"BREAD BIN, DINER STYLE, IVORY",16.95
85054,FRENCH ENAMEL POT W LID,2.95
85039B,S/4 IVORY MINI ROSE CANDLE IN BOWL,1.65
21535,RED RETROSPOT SMALL MILK JUG,2.55
20903,VINTAGE KEEPSAKE BOX TRAVELOGUE,6.35
22209,WOOD STAMP SET HAPPY BIRTHDAY,1.65
20893,HANGING BAUBLE T-LIGHT HOLDER SMALL,2.55
22417,PACK OF 60 SPACEBOY CAKE CASES,0.55
21012,ANTIQUE ALL GLASS CANDLESTICK,2.1
20970,PINK FLORAL FELTCRAFT SHOULDER BAG,3.75
22739,RIBBON REEL CHRISTMAS SOCK BAUBLE,1.65
22670,FRENCH WC SIGN BLUE METAL,1.25
17014A,ORIGAMI VANILLA INCENSE CONES,0.5
21620,SET OF 4 ROSE BOTANICAL CANDLES,3.75
22838,3 TIER CAKE TIN RED AND CREAM,14.95
72802C,VANILLA SCENT CANDLE JEWELLED BOX,4.25
21382,SET/4 SPRING FLOWER DECORATION,2.95
47343A,FUSCHIA FLOWER PURSE WITH BEADS,1.49
72349B,SET/6 PURPLE BUTTERFLY T-LIGHTS,2.1
84569B,PACK 3 FIRE ENGINE/CAR PATCHES,1.25
22582,PACK OF 6 SWEETIE GIFT BOXES,2.55
22701,PINK DOG BOWL,3.24
21378,SMALL TALL CAMPHOR WOOD TOADSTOOL,1.65
21544,SKULLS  WATER TRANSFER TATTOOS ,0.85
22210,WOOD STAMP SET BEST WISHES,1.65
21794,CLASSIC FRENCH STYLE BASKET NATURAL,6.75
21143,ANTIQUE GLASS HEART DECORATION ,1.95
84924A,WAKE UP COCKEREL CALENDAR SIGN ,3.75
22362,GLASS JAR PEACOCK BATH SALTS,2.95
84625A,PINK NEW BAROQUECANDLESTICK CANDLE,2.95
20798,CLEAR MILKSHAKE GLASS,2.1
85130A,BEADED PEARL HEART WHITE LARGE,1.65
85124B,BLUE JUICY FRUIT PHOTO FRAME,2.55
84971S,SMALL HEART FLOWERS HOOK ,0.85
47594A,CAROUSEL DESIGN WASHBAG,1.95
71038,WHITE HANGING BEADS CANDLE HOLDER,5.45
22102,MIRROR MOSAIC T-LIGHT HOLDER ,1.65
90214C,LETTER "C" BLING KEY RING,1.25
47556B,TEA TIME TEA TOWELS ,2.55
79321,CHILLI LIGHTS,4.95
85159A,"BLACK TEA,COFFEE,SUGAR JARS",6.35
21669,BLUE STRIPE CERAMIC DRAWER KNOB,1.49
22470,HEART OF WICKER LARGE,3.21
22079,RIBBON REEL HEARTS DESIGN ,1.65
22469,HEART OF WICKER SMALL,1.93
21929,JUMBO BAG PINK VINTAGE PAISLEY,1.95
21357,TOAST ITS - DINOSAUR,1.25
21497,FANCY FONTS BIRTHDAY WRAP,0.42
21948,SET OF 6 CAKE CHOPSTICKS,1.25
22923,FRIDGE MAGNETS LES ENFANTS ASSORTED,0.85
20717,STRAWBERRY SHOPPER BAG,1.25
22698,PINK REGENCY TEACUP AND SAUCER,2.95
71459,HANGING JAM JAR T-LIGHT HOLDER,0.85
22068,BLACK PIRATE TREASURE CHEST,1.65
21215,IVORY PAPER CUP CAKE CASES ,0.55
22754,SMALL RED BABUSHKA NOTEBOOK ,0.85
21868,POTTING SHED TEA MUG,1.25
85136A,YELLOW SHARK HELICOPTER,7.95
84459A,PINK METAL CHICKEN HEART ,1.49
21397,BLUE POLKADOT EGG CUP ,1.25
22580,ADVENT CALENDAR GINGHAM SACK,5.95
20775,DAISY NOTEBOOK ,1.65
22394,PAPERWEIGHT KINGS CHOICE ,2.55
22593,CHRISTMAS GINGHAM STAR,0.85
20748,KENSINGTON COFFEE SET,12.75
84951A,SET OF 4 PISTACHIO LOVEBIRD COASTER,2.55
22497,SET OF 2 TINS VINTAGE BATHROOM ,4.25
21040,MODERN VINTAGE COTTON SHOPPING BAG,2.55
35972,DAISY FOLKART HEART DECORATION,1.25
90212C,PURPLE LAS VEGAS BRACELET ROUND,3.75
85020,ROUND PINK HEART MIRROR,2.1
90161D,ANT COPPER PINK BOUDICCA BRACELET,4.95
21132,SILVER STANDING GNOME   ,4.25
21461,BLUE EASTER EGG HUNT START POST,1.95
20972,PINK CREAM FELT CRAFT TRINKET BOX ,1.25
47567B,TEA TIME KITCHEN APRON,5.95
22474,SPACEBOY TV DINNER TRAY,4.95
90200E,GREEN SWEETHEART BRACELET,4.25
17012C,ORIGAMI LAVENDER INCENSE/CANDL SET ,2.55
22481,BLACK TEA TOWEL CLASSIC DESIGN,1.25
21154,RED RETROSPOT OVEN GLOVE ,1.25
22169,FAMILY ALBUM WHITE PICTURE FRAME,8.5
21621,VINTAGE UNION JACK BUNTING,8.87
85061W,WHITE JEWELLED HEART DECORATION,0.85
22186,RED STAR CARD HOLDER,2.95
22577,WOODEN HEART CHRISTMAS SCANDINAVIAN,0.85
84660B,BLACK STITCHED WALL CLOCK,1.25
22212,FOUR HOOK  WHITE LOVEBIRDS,2.22
20856,DENIM PATCH PURSE PINK BUTTERFLY,1.65
82483,WOOD 2 DRAWER CABINET WHITE FINISH,5.95
22327,ROUND SNACK BOXES SET OF 4 SKULLS,2.95
21581,SKULLS  DESIGN  COTTON TOTE BAG,2.25
84341B,SMALL PINK MAGIC CHRISTMAS TREE,0.85
20866,BLUE ROSE FABRIC MIRROR,1.25
72801G,4 BURGUNDY WINE DINNER CANDLES,1.25
21071,VINTAGE BILLBOARD DRINK ME MUG,1.25
22328,ROUND SNACK BOXES SET OF 4 FRUITS ,2.95
22171,3 HOOK PHOTO SHELF ANTIQUE WHITE,8.5
37327,ASSTD MULTICOLOUR CIRCLES MUG,1.69
21792,CLASSIC FRENCH STYLE BASKET GREEN ,6.75
84813,SET OF 4 DIAMOND NAPKIN RINGS,12.75
22031,BOTANICAL LAVENDER BIRTHDAY CARD,0.42
84356,POMPOM CURTAIN,6.95
22136,LOVE HEART SOCK HANGER,1.65
85185D,FROG SOCK PUPPET,2.95
84251B,"GREETING CARD, STICKY GORDON",0.19
22265,EASTER DECORATION NATURAL CHICK,0.65
22683,FRENCH BLUE METAL DOOR SIGN 8,1.25
85179A,GREEN BITTY LIGHT CHAIN,4.65
72798C,SET/4 GARDEN ROSE DINNER CANDLE,1.65
84637,KITCHEN FLOWER POTS WALL PLAQUE,5.95
22640,SET OF 4 NAPKIN CHARMS 3 KEYS ,2.55
22860,EASTER TIN CHICKS PINK DAISY,1.65
21084,SET/6 COLLAGE PAPER CUPS,0.65
85125,SMALL ROUND CUT GLASS CANDLESTICK,4.95
22615,PACK OF 12 CIRCUS PARADE TISSUES ,0.29
21365,MIRRORED WALL ART STARS,2.95
21253,SET OF PICTURE FRAME  STICKERS,2.95
82616C,MIDNIGHT GLAMOUR SCARF KNITTING KIT,2.95
85211,S/4 GROOVY CAT MAGNETS,1.65
84675,FROG KING WATERING CAN,2.95
90136,PALE PINK/AMETHYST STONE NECKLACE,9.95
22727,ALARM CLOCK BAKELIKE RED ,3.75
35610B,BLACK CHRISTMAS FLOCK DROPLET ,1.25
22352,LUNCH BOX WITH CUTLERY RETROSPOT ,2.55
84030E,ENGLISH ROSE HOT WATER BOTTLE,4.25
22476,EMPIRE UNION JACK TV DINNER TRAY,4.95
21982,PACK OF 12 SUKI TISSUES ,0.29
21777,RECIPE BOX WITH METAL HEART,7.95
22302,COFFEE MUG PEARS  DESIGN,2.55
22617,BAKING SET SPACEBOY DESIGN,4.95
22742,MAKE YOUR OWN PLAYTIME CARD KIT,2.95
22192,BLUE DINER WALL CLOCK,8.5
20966,SANDWICH BATH SPONGE,1.25
22348,TEA BAG PLATE RED RETROSPOT,0.85
22972,CHILDRENS SPACEBOY MUG,1.65
22503,CABIN BAG VINTAGE PAISLEY,29.95
51008,AFGHAN SLIPPER SOCK PAIR,3.45
22155,STAR DECORATION RUSTIC,0.42
21135,VICTORIAN  METAL POSTCARD SPRING,1.69
22526,WHEELBARROW FOR CHILDREN ,12.75
22345,PARTY PIZZA DISH BLUE POLKADOT,0.85
37342,POLKADOT COFFEE CUP & SAUCER PINK,0.85
22256,FELT FARM ANIMAL CHICKEN,1.25
22021,BLUE FELT EASTER EGG BASKET,1.65
22639,SET OF 4 NAPKIN CHARMS HEARTS,2.55
22376,AIRLINE BAG VINTAGE JET SET WHITE,4.25
84744,S/6 SEW ON CROCHET FLOWERS,1.25
22883,NUMBER TILE VINTAGE FONT 4,2.17
84968D,SET OF 16 VINTAGE RED CUTLERY,12.75
22349,DOG BOWL CHASING BALL DESIGN,3.75
85019A,ROMANTIC IMAGES NOTEBOOK SET,4.25
22089,PAPER BUNTING VINTAGE PAISLEY,2.95
20661,BLUE POLKADOT PURSE ,2.95
21788,KIDS RAIN MAC BLUE,0.85
84031A,CHARLIE+LOLA RED HOT WATER BOTTLE ,4.65
21692,SILVER LATTICE VANILLA CANDLE POT,3.75
40005B,BLUE ORGANDY ROUND LAMPSHADE W BEA,0.85
15034,PAPER POCKET TRAVELING FAN ,0.14
90186A,AMETHYST HOOP EARRING FLORAL LEAF,2.95
90177D,DROP DIAMANTE EARRINGS PURPLE,2.95
21179,NO JUNK MAIL METAL SIGN,1.25
22390,PAPERWEIGHT CHILDHOOD MEMORIES,2.55
22663,JUMBO BAG DOLLY GIRL DESIGN,1.95
21326,AGED GLASS SILVER T-LIGHT HOLDER,0.65
20961,STRAWBERRY BATH SPONGE ,1.25
22534,MAGIC DRAWING SLATE SPACEBOY ,0.42
22984,CARD GINGHAM ROSE ,0.42
85049C,ROMANTIC PINKS RIBBONS ,1.25
22024,RAINY LADIES BIRTHDAY CARD,0.42
22415,WHITE TISSUE REAM,7.95
37447,CERAMIC CAKE DESIGN SPOTTED PLATE,1.49
21563,RED HEART SHAPE LOVE BUCKET ,2.95
21240,BLUE POLKADOT CUP,0.85
20700,GREEN CAT FLORAL CUSHION COVER ,3.75
22049,WRAP CHRISTMAS SCREEN PRINT,0.42
22846,BREAD BIN DINER STYLE RED ,16.95
22190,LOCAL CAFE MUG,2.1
21933,PINK VINTAGE PAISLEY PICNIC BAG,2.95
84987,SET OF 36 TEATIME PAPER DOILIES,1.45
22735,RIBBON REEL SOCKS AND MITTENS,1.65
90160C,TURQ+RED BOUDICCA LARGE BRACELET,6.95
21172,PARTY METAL SIGN ,1.45
22135,MINI LADLE LOVE HEART PINK,0.42
21925,UNION STRIPE CUSHION COVER ,1.25
21211,SET OF 72 SKULL PAPER  DOILIES,1.45
21735,TWO DOOR CURIO CABINET,12.75
84535B,FAIRY CAKES NOTEBOOK A6 SIZE,0.65
22278,OVERNIGHT BAG VINTAGE ROSE PAISLEY,4.95
21873,IF YOU CAN'T STAND THE HEAT MUG,1.25
22322,BIRD DECORATION GREEN POLKADOT,0.85
72133,COLUMBIAN CANDLE RECTANGLE,1.25
22440,BALLOON WATER BOMB PACK OF 35,0.42
84915,HAND TOWEL PINK FLOWER AND DAISY,5.95
20666,ECONOMY HOLIDAY PURSE,2.95
85195,HANGING HEART BASKET,2.1
21722,SWEET PUDDING STICKER SHEET,0.85
79071B,ENGLISH ROSE METAL WASTE BIN,2.95
22244,3 HOOK HANGER MAGIC GARDEN,1.95
82567,"AIRLINE LOUNGE,METAL SIGN",2.1
47367B,PAIR PADDED HANGERS PINK CHECK,3.75
21288,STRIPEY CHOCOLATE NESTING BOXES,2.95
85071D,CHARLIE+LOLA MY ROOM DOOR SIGN,2.55
21412,VINTAGE GOLD TINSEL REEL,0.42
22686,FRENCH BLUE METAL DOOR SIGN No,1.25
46000P,POLYESTER FILLER PAD 65CMx65CM,4.25
15044D,RED PAPER PARASOL,2.95
75178,ASSTD COL BUTTERFLY/CRYSTAL W/CHIME,0.42
84929,ASSTD FRUIT+FLOWERS FRIDGE MAGNETS,0.55
22191,IVORY DINER WALL CLOCK,8.5
22272,FELTCRAFT DOLL MARIA,2.95
22109,FULL ENGLISH BREAKFAST PLATE,3.75
22180,RETROSPOT LAMP,9.95
85099C,JUMBO  BAG BAROQUE BLACK WHITE,1.95
47480,HANGING PHOTO CLIP ROPE LADDER,1.65
21656,RIDGED GLASS POSY VASE ,1.45
85231B,CINAMMON SET OF 9 T-LIGHTS,0.85
21381,MINI WOODEN HAPPY BIRTHDAY GARLAND,1.69
22453,MEASURING TAPE BABUSHKA BLUE,2.95
22487,WHITE WOOD GARDEN PLANT LADDER,9.95
20723,STRAWBERRY CHARLOTTE BAG,0.85
21448,12 DAISY PEGS IN WOOD BOX,1.65
85015,SET OF 12  VINTAGE POSTCARD SET,2.55
35810A,ENAMEL PINK COFFEE CONTAINER,2.1
22814,CARD PARTY GAMES ,0.42
51014L,"FEATHER PEN,LIGHT PINK",0.85
21802,CHRISTMAS TREE HEART DECORATION,0.42
21695,SMALL SILVER FLOWER CANDLE POT,2.95
85132B,CHARLIE AND LOLA TABLE TINS,9.95
20617,FIRST CLASS PASSPORT COVER ,2.1
84614A,PINK BAROQUE FLOCK CANDLE HOLDER,5.95
85032C,CURIOUS IMAGES GIFT WRAP SET,2.1
22876,NUMBER TILE COTTAGE GARDEN 8,1.95
79030D,"TUMBLER, BAROQUE",1.65
85197,SET OF 12 MINI BUNNIES IN A BUCKET,2.1
85114B,IVORY ENCHANTED FOREST PLACEMAT,1.65
20762,GREEN FERN SKETCHBOOK ,3.75
22636,CHILDS BREAKFAST SET CIRCUS PARADE,8.5
22866,HAND WARMER SCOTTY DOG DESIGN,2.1
84459B,YELLOW METAL CHICKEN HEART ,1.49
21539,RED RETROSPOT BUTTER DISH,4.95
22211,WOOD STAMP SET FLOWERS,1.65
22692,DOORMAT WELCOME TO OUR HOME,7.95
21196,ROUND WHITE CONFETTI IN TUBE,1.65
85036A,GARDENIA 1 WICK MORRIS BOXED CANDLE,4.25
22117,METAL SIGN HER DINNER IS SERVED ,2.95
22900, SET 2 TEA TOWELS I LOVE LONDON ,2.95
21974,SET OF 36 PAISLEY FLOWER DOILIES,1.45
22115,METAL SIGN EMPIRE TEA,2.95
22550,HOLIDAY FUN LUDO,3.75
22661,CHARLOTTE BAG DOLLY GIRL DESIGN,0.85
84032B,CHARLIE + LOLA RED HOT WATER BOTTLE,2.95
21790,VINTAGE SNAP CARDS,0.85
22377,BOTTLE BAG RETROSPOT ,2.1
22529,MAGIC DRAWING SLATE GO TO THE FAIR ,0.42
21108,FAIRY CAKE FLANNEL ASSORTED COLOUR,2.55
85055,FRENCH ENAMEL UTENSIL HOLDER,3.75
22647,CERAMIC LOVE HEART MONEY BANK,1.45
21262,WHITE GOOSE FEATHER CHRISTMAS TREE ,16.95
84559A,3D SHEET OF DOG STICKERS,0.85
21195,PINK  HONEYCOMB PAPER BALL ,2.1
22436,12 COLOURED PARTY BALLOONS,0.65
21216,"SET 3 RETROSPOT TEA,COFFEE,SUGAR",4.95
22123,PING MICROWAVE APRON,5.95
79163,BLACK CHAMPAGNE GLASS,1.65
85027L,FRENCH CHATEAU LARGE PLATTER ,7.95
22608,PENS ASSORTED FUNKY JEWELED ,0.85
20785,FUSCHIA RETRO BAR STOOL,39.95
21064,BOOM BOX SPEAKER BOYS,5.95
22400,MAGNETS PACK OF 4 HOME SWEET HOME,1.25
20702,PINK PADDED MOBILE,4.25
84279P,CHERRY BLOSSOM  DECORATIVE FLASK,3.75
90184A,AMBER CHUNKY BEAD BRACELET W STRAP,8.95
85032A,ROMANTIC IMAGES GIFT WRAP SET,2.1
22559,SEASIDE FLYING DISC,1.25
22828,REGENCY MIRROR WITH SHUTTERS,165
